nome,anno,codice_stato_cup,costo_lavori_previsto,cup,fonte_finanziamento,lat,lon,tipo,nome_completo
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,140000.00,B31B16000730006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO DELLA CENTRALE TERMICA E POSA IN OPERA DI PANNELLI SOLARI.,2018,ATTIVO,100000.00,B31B16000750006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,99950.00,B31B16000740006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO DELLA PRODUZIONE ENERGETICA CON POSA DI PANNELLI SOLARI TERMICI,2018,ATTIVO,80000.00,B31B16000720006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,42275.40,B31B16000740006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
IMPIANTO PEDONALE MECCANIZZATO PER LA RIDUZIONE DEL TRAFFICO VEICOLARE DELLA CITTÀ DI POTENZA DA VIA CAVOUR AL CENTRO,2017,ATTIVO,8800000.00,B31J17000040006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO SISMICO ED EFFICENTAMENTO ENERGETICO,2017,ATTIVO,2200000.00,B32B17000290006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
INDIVIDUAZIONE NEL SETTORE NORD DELLA CITTÀ DI UN'ADEGUATA AREA DI INTERSCAMBIO (,2017,ATTIVO,2150000.01,B31J17000100006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
FRUIZIONE INFRASTRUTTURA VERDE,2017,ATTIVO,2000000.00,B32H17000460006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"LINTERVENTO CONSISTE NELLA REALIZZAZIONE DI 8 ALLOGGI DI PICCOLA E MEDIA DIMENSIONE, DA ADIBIRE ALLOGGI IN LOCAZIONE A CANONE SOCIALE",2017,ATTIVO,1400000.00,B35G17000000006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
MANUTENZIONE STRAORDINARIA TEATRO STABILE,2017,ATTIVO,750000.00,B32F17000880006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
EFFICENTAMENTO ENERGETICO,2017,ATTIVO,750000.00,B34J17000110006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO ENERGETICO PALESTRE,2017,ATTIVO,700000.00,B34J17000100006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"COMPLETAMENTO DELLIMMOBILE PER LA REALIZZAZIONE DI UN MODULO ABITATIVO, CHE PUÀ OSPITARE UN MASSIMO DI 5 SOGGETTI ADULTI (18-64 ANNI) CON DISABILITÀ GRAVE",2017,ATTIVO,550000.00,B32B17000180006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
REALIZZAZIONE DI UN CENTRO DI RACCOLTA (ISOLA ECOLOGICA) PER LA RACCOLTA DIFFERENZIATA,2017,CHIUSO,500000.00,B32F17000960007,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
INTERVENTI DI CHIUSURA E MESSA IN SICUREZZA DELLA DISCARICA (VASCA SCORIE DA INCEN,2017,CHIUSO,400000.00,B39G17000200002,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
SISTEMA INTEGRATO DEI PARCHI STORICI DEL CENTRO CITTÀ - PARCO DI MONTEREALE,2017,ATTIVO,300000.00,B34J17000050006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RIQUALIFICAZIONE DEL PARCO URBANO VILLA ROMAMA,2017,ATTIVO,250000.00,B31G17000130006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
LINTERVENTO PREVEDE UNA MODIFICA SOSTANZIALE DEL SISTEMA DI ILLUMINAZIONE ATTA AD OTTENERE LA RIQUALIFICAZIONE ENERGETICA DELLIMPIANTO E LA SUA MESSA A NORMA. ATTUALMENTE LA RET,2015,ATTIVO,2476753.64,B33G15000050005,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
