DENOMINAZIONE,STATOPATRIMONIALE,CONDGIUR,CESPITE,DAL,INDIRIZZO,RES11,FON11,RES3112,FON3112,STORICOCF,QUOTA,COMUNECATASTALE,FOGLIO,PARTICELLA,SUBALTERNO,SUPERFICIE,QUALITA
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 37",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,37,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 39",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,39,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 44",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,44,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 46",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,46,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 53",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,53,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 67",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,67,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 68",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,68,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"...DEPOSITO - TANGENZIALE EST, SNC - LECCE - DEPOSITO - FG. 179 P.LLA 349",01/01/2019,"EST, Piano T","6.704,80€","583,04€","6.559,04€","728,80€",-   €,"145,76€",LECCE,179,349,,0,C/2  - MAGAZZINI E LOCALI DI DEPOSITO
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO, GARAGE E DEPOSITI - VIA POZZUOLO, 26 - LECCE - DEPOSITO - FG. 211 P.LLA 1852 SUB. 33",01/01/2019,"POZZUOLO, 20 Piano 1 int. 1","1.685,31€","146,56€","1.648,67€","183,20€",-   €,"36,64€",LECCE,211,1852,33,0,C/2  - MAGAZZINI E LOCALI DI DEPOSITO
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO, GARAGE E DEPOSITI - VIA POZZUOLO, 26 - LECCE - DEPOSITO - FG. 211 P.LLA 1852 SUB. 48",01/01/2019,"POZZUOLO, 20 Piano 1 int. 1","1.685,31€","146,56€","1.648,67€","183,20€",-   €,"36,64€",LECCE,211,1852,48,0,C/2  - MAGAZZINI E LOCALI DI DEPOSITO
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO, GARAGE E DEPOSITI - VIA POZZUOLO, 26 - LECCE - DEPOSITO - FG. 211 P.LLA 1852 SUB. 49",01/01/2019,"POZZUOLO, 20 Piano 1 int. 1","1.685,31€","146,56€","1.648,67€","183,20€",-   €,"36,64€",LECCE,211,1852,49,0,C/2  - MAGAZZINI E LOCALI DI DEPOSITO
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO, GARAGE E DEPOSITI - VIA POZZUOLO, 26 - LECCE - DEPOSITO - FG. 211 P.LLA 1852 SUB. 51",01/01/2019,"POZZUOLO, 20 Piano 1 int. 1","1.685,31€","146,56€","1.648,67€","183,20€",-   €,"36,64€",LECCE,211,1852,51,0,C/2  - MAGAZZINI E LOCALI DI DEPOSITO
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 41",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,41,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 45",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,45,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 49",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,49,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 56",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,56,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"ALLOGGIO E GARAGE - PIAZZALE SONDRIO, 11 - LECCE - GARAGE - FG. 198 P.LLA 585 SUB. 59",01/01/2019,"SONDRIO, 11 Piano 1","7.139,42€","620,84€","6.984,21€","776,05€",-   €,"155,21€",LECCE,198,585,59,0,"C/6  - STALLE, SCUDERIE, AUTORIMESSE"
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"EDIFICIO PARTICOLARE PARCO E LOCALI TAX ROAD- VIALE DELLA LIBERTA', SNC - LECCE - EDIFICIO PARTICOLARE - FG. 198 P.LLA 743 SUB. 1",01/01/2019,"DELLA LIBERTA', SNC Piano S1-T","327.256,14€","28.100,08€","320.149,02€","35.207,20€",-   €,"7.107,12€",LECCE,198,743,1,0,E/9  - EDIF. A DESTINAZIONI PARTICOLARI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"MASSERIA PARCO RAUCCIO UFFICIO WWF/ SITO TURISTICO MASSERIA RAUCCIO  - VIA DEL PARCO DI RAUCCIO, SNC - LECCE - ALLOGGIO - FG. 43 P.LLA 187",01/01/2019,"DEL PARCO DI RAUCCIO, SN Piano T-1","131.549,12€","11.439,04€","128.689,36€","14.298,80€",-   €,"2.859,76€",LECCE,43,187,,0,A/10 - UFFICI O STUDI PRIVATI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"RUDERE PROV. DAL FEDERALISMO DEMANIALE - VIA IDUME, 21 - LECCE - RUDERE - FG. 44 P.LLA 379 SUB. 5",01/01/2019,"IDUME, 21 Piano T",-   €,-   €,-   €,-   €,-   €,-   €,LECCE,44,379,5,0,F/2  - UNITÀ COLLABENTI
Fabbricati,1.2.2.02.09.99.999 - Beni immobili n.a.c.,INDISPONIBILE,"EX SEDE CIRCOSCRIZIONALE - PIAZZETTA BERTACCHI, SNC - LECCE - EX SEDE CIRCOSCRIZIONALE - FG. 82 P.LLA 242 SUB. 4",01/01/2019,"BERTACCHI, SNC Piano T-1","113.150,45€","9.839,16€","110.690,66€","12.298,95€",-   €,"2.459,79€",LECCE,82,242,4,0,"B/1  - COLLEGI, OSPIZI, CASERME, CONVEN."
